	0
14	http://www.wfmu.org/playlists/shows/52942
15	http://www.wfmu.org/playlists/shows/52895
16	http://www.wfmu.org/playlists/shows/52842
17	http://www.wfmu.org/playlists/shows/52783
18	http://www.wfmu.org/playlists/shows/52748
19	http://www.wfmu.org/playlists/shows/52692
20	http://www.wfmu.org/playlists/shows/52660
21	http://www.wfmu.org/playlists/shows/52503
22	http://www.wfmu.org/playlists/shows/52470
23	http://www.wfmu.org/playlists/shows/52395
24	http://www.wfmu.org/playlists/shows/52377
25	http://www.wfmu.org/playlists/shows/52299
26	http://www.wfmu.org/playlists/shows/52280
27	http://www.wfmu.org/playlists/shows/52111
28	http://www.wfmu.org/playlists/shows/52090
29	http://www.wfmu.org/playlists/shows/52013
30	http://www.wfmu.org/playlists/shows/51996
31	http://www.wfmu.org/playlists/shows/51800
32	http://www.wfmu.org/playlists/shows/51794
33	http://www.wfmu.org/playlists/shows/51732
34	http://www.wfmu.org/playlists/shows/51700
35	http://www.wfmu.org/playlists/shows/51632
36	http://www.wfmu.org/playlists/shows/51604
37	http://www.wfmu.org/playlists/shows/51539
38	http://www.wfmu.org/playlists/shows/51504
39	http://www.wfmu.org/playlists/shows/51436
40	http://www.wfmu.org/playlists/shows/51404
41	http://www.wfmu.org/playlists/shows/51320
42	http://www.wfmu.org/playlists/shows/51312
43	http://www.wfmu.org/playlists/shows/51235
44	http://www.wfmu.org/playlists/shows/51214
45	http://www.wfmu.org/playlists/shows/51153
46	http://www.wfmu.org/playlists/shows/51117
47	http://www.wfmu.org/playlists/shows/51054
48	http://www.wfmu.org/playlists/shows/51024
49	http://www.wfmu.org/playlists/shows/50683
50	http://www.wfmu.org/playlists/shows/50739
51	http://www.wfmu.org/playlists/shows/50732
52	http://www.wfmu.org/playlists/shows/50556
53	http://www.wfmu.org/playlists/shows/50635
54	http://www.wfmu.org/playlists/shows/50555
55	http://www.wfmu.org/playlists/shows/50534
56	http://www.wfmu.org/playlists/shows/50201
57	http://www.wfmu.org/playlists/shows/50200
58	http://www.wfmu.org/playlists/shows/50347
59	http://www.wfmu.org/playlists/shows/50286
60	http://www.wfmu.org/playlists/shows/50252
61	http://www.wfmu.org/playlists/shows/50199
62	http://www.wfmu.org/playlists/shows/50154
63	http://www.wfmu.org/playlists/shows/50109
64	http://www.wfmu.org/playlists/shows/50064
65	http://www.wfmu.org/playlists/shows/50016
66	http://www.wfmu.org/playlists/shows/49956
67	http://www.wfmu.org/playlists/shows/49900
68	http://www.wfmu.org/playlists/shows/49867
69	http://www.wfmu.org/playlists/shows/49775
70	http://www.wfmu.org/playlists/shows/49676
71	http://www.wfmu.org/playlists/shows/49633
72	http://www.wfmu.org/playlists/shows/49586
73	http://www.wfmu.org/playlists/shows/49513
74	http://www.wfmu.org/playlists/shows/49492
75	http://www.wfmu.org/playlists/shows/49419
76	http://www.wfmu.org/playlists/shows/49391
77	http://www.wfmu.org/playlists/shows/49319
78	http://www.wfmu.org/playlists/shows/49296
79	http://www.wfmu.org/playlists/shows/49250
80	http://www.wfmu.org/playlists/shows/49205
81	http://www.wfmu.org/playlists/shows/49147
82	http://www.wfmu.org/playlists/shows/49114
83	http://www.wfmu.org/playlists/shows/49055
84	http://www.wfmu.org/playlists/shows/49022
85	http://www.wfmu.org/playlists/shows/48956
86	http://www.wfmu.org/playlists/shows/48926
0	http://www.wfmu.org/playlists/shows/58765
1	http://www.wfmu.org/playlists/shows/58662
2	http://www.wfmu.org/playlists/shows/58669
3	http://www.wfmu.org/playlists/shows/58592
4	http://www.wfmu.org/playlists/shows/58557
5	http://www.wfmu.org/playlists/shows/58495
6	http://www.wfmu.org/playlists/shows/58466
7	http://www.wfmu.org/playlists/shows/58396
8	http://www.wfmu.org/playlists/shows/58362
9	http://www.wfmu.org/playlists/shows/58344
10	http://www.wfmu.org/playlists/shows/58261
11	http://www.wfmu.org/playlists/shows/57981
12	http://www.wfmu.org/playlists/shows/57954
13	http://www.wfmu.org/playlists/shows/57892
14	http://www.wfmu.org/playlists/shows/57859
15	http://www.wfmu.org/playlists/shows/57798
16	http://www.wfmu.org/playlists/shows/57766
17	http://www.wfmu.org/playlists/shows/57626
18	http://www.wfmu.org/playlists/shows/57580
19	http://www.wfmu.org/playlists/shows/57432
20	http://www.wfmu.org/playlists/shows/57397
21	http://www.wfmu.org/playlists/shows/57337
22	http://www.wfmu.org/playlists/shows/57307
23	http://www.wfmu.org/playlists/shows/57243
24	http://www.wfmu.org/playlists/shows/57209
25	http://www.wfmu.org/playlists/shows/57050
26	http://www.wfmu.org/playlists/shows/57015
27	http://www.wfmu.org/playlists/shows/56957
28	http://www.wfmu.org/playlists/shows/56919
29	http://www.wfmu.org/playlists/shows/56780
30	http://www.wfmu.org/playlists/shows/56680
31	http://www.wfmu.org/playlists/shows/56730
32	http://www.wfmu.org/playlists/shows/56556
33	http://www.wfmu.org/playlists/shows/56631
34	http://www.wfmu.org/playlists/shows/56555
35	http://www.wfmu.org/playlists/shows/56542
36	http://www.wfmu.org/playlists/shows/56359
37	http://www.wfmu.org/playlists/shows/56305
38	http://www.wfmu.org/playlists/shows/56263
39	http://www.wfmu.org/playlists/shows/56229
40	http://www.wfmu.org/playlists/shows/56169
41	http://www.wfmu.org/playlists/shows/56094
42	http://www.wfmu.org/playlists/shows/56074
43	http://www.wfmu.org/playlists/shows/56012
44	http://www.wfmu.org/playlists/shows/55981
45	http://www.wfmu.org/playlists/shows/55925
